movie_name,year,duration,gross,budget,facebook_likes,average_rating,sentiment_score,nominated
The Impossible,2012,114,18996755,45000000,54000,79,38.2038432,0
The Pirates! Band of Misfits,2012,88,31051126,55000000,33661,77,52.08333333,0
Tabu,2012,118,0,0,757,81,62.99170668,0
Chronicle,2012,89,64572496,12000000,32000,78,57.2807397,0
Moonrise Kingdom,2012,94,45507053,16000000,71000,86,61.46292804,0
Pitch Perfect,2012,112,64998368,17000000,36000,76,84.62413522,0
The Master,2012,144,16377274,32000000,27000,79,60.78222074,0
Argo,2012,130,136019448,44500000,89000,87,61.8413265,1
Silver Linings Playbook,2012,122,132088910,21000000,117000,85,52.33194581,1
Brave,2012,93,237282182,185000000,39000,75,74.81995252,0
Starlet,2012,103,88212,46752.36,1724,78,63.08804266,0
Django Unchained,2012,165,162804648,100000000,199000,86,73.60551989,1
21 Jump Street,2012,109,138447667,42000000,39000,79,61.90263914,0
Amour,2012,127,225377,8900000,33000,86,56.52575758,1
Safety Not Guaranteed,2012,86,4007792,750000,31000,80,57.54093637,0
A Royal Affair,2012,137,14700000,7791000,32055,83,60.33612095,0
The Perks of Being a Wallflower,2012,102,17738570,13000000,131000,83,53.94583879,0
Compliance,2012,90,318622,270000,15901,77,57.27628167,0
Looper,2012,119,66468315,30000000,75000,84,65.1185463,0
Beasts of the Southern Wild,2012,93,12784397,1800000,31000,80,54.72745005,1
Frankenweenie,2012,87,35287788,39000000,25000,79,60.66643057,0
Flight,2012,138,93749203,31000000,64000,76,56.12167506,0
Keep the Lights On,2012,101,246112,130439.36,15597,77,56.01761784,0
Smashed,2012,81,499725,500000,1918,76,63.55165253,0
The Cabin in the Woods,2012,95,42043633,30000000,66000,81,49.51235856,0
The Sessions,2012,95,5997134,1000000,11000,83,55.09228141,0
Life of Pi,2012,127,124976634,120000000,122000,84,62.84996448,1
Barbara,2012,105,3100000,1643000,771,83,57.02422779,0
"Farewell, My Queen",2012,100,5000000,7500000,593,78,62.21407625,0
Robot & Frank,2012,89,3325638,2500000,13000,79,54.90635739,0
Arbitrage,2012,107,7918283,12000000,15662,76,67.41683766,0
Seven Psychopaths,2012,110,14989761,15000000,52000,77,83.75,0
Skyfall,2012,143,304360277,200000000,80000,86,60.09196476,0
The Dark Knight Rises,2012,164,448130642,250000000,164000,86,47.63032493,0
End of Watch,2012,109,40983001,7000000,38000,81,58.36148548,0
Magic Mike,2012,110,113709992,7000000,54000,71,68.40991638,0
Middle of Nowhere,2012,97,78030,200000,569,76,52.36441166,0
The Hunger Games,2012,142,407999255,78000000,140000,79,59.99092525,0
ParaNorman,2012,92,55994557,60000000,12000,79,58.84642766,0
Lincoln,2012,150,182204440,65000000,71000,82,58.73150424,1
Holy Motors,2012,115,4200000,4000000,12000,81,53.21018062,0
Zero Dark Thirty,2012,157,132800000,40000000,266092,83,50.47404758,1
Les Miserables,2012,158,441800000,61000000,20047,72.5,59.4354198,1
Inside Llewyn Davis,2013,104,13214255,11000000,26000,84,58.19408991,0
Captain Phillips,2013,134,107100855,55000000,65000,86,57.28277714,1
